Points:0,Points:1,Points:2,vtkOriginalIndices
1.87899,-2.73017,0,599
1.83486,-2.53771,0,600
1.79074,-2.34526,0,601
1.74661,-2.1528,0,602
1.70249,-1.96034,0,603
1.65837,-1.76788,0,604
1.61424,-1.57543,0,605
1.57012,-1.38297,0,606
1.52917,-1.20436,0,607
1.49325,-1.04768,0,608
1.46174,-0.910249,0,609
1.4341,-0.789692,0,610
1.40985,-0.683941,0,611
1.38859,-0.591176,0,612
1.36993,-0.509804,0,613
1.35357,-0.438424,0,614
1.33921,-0.375811,0,615
1.32662,-0.320887,0,616
1.31557,-0.272707,0,617
1.30588,-0.230445,0,618
1.29738,-0.193373,0,619
1.28993,-0.160853,0,620
1.28339,-0.132328,0,621
1.27765,-0.107305,0,622
1.27262,-0.0853552,0,623
1.2682,-0.066101,0,624
1.26433,-0.0492114,0,625
1.26094,-0.034396,0,626
1.25796,-0.0214,0,627
1.25534,-0.00999999,0,628
1.25305,5.88739e-09,0,629
1.98556,-3.5,0,630
1.94255,-3.30754,0,631
1.89954,-3.11509,0,632
1.85653,-2.92263,0,633
1.81353,-2.73017,0,634
1.77052,-2.53771,0,635
1.72751,-2.34526,0,636
1.6845,-2.1528,0,637
1.64149,-1.96034,0,638
1.59849,-1.76788,0,639
1.55548,-1.57543,0,640
1.51247,-1.38297,0,641
1.47256,-1.20436,0,642
1.43755,-1.04768,0,643
1.40683,-0.910249,0,644
1.37989,-0.789692,0,645
1.35626,-0.683941,0,646
1.33553,-0.591176,0,647
1.31735,-0.509804,0,648
1.3014,-0.438424,0,649
1.2874,-0.375811,0,650
1.27513,-0.320887,0,651
1.26436,-0.272707,0,652
1.25492,-0.230445,0,653
1.24664,-0.193373,0,654
1.23937,-0.160853,0,655
1.23299,-0.132328,0,656
1.2274,-0.107305,0,657
1.2225,-0.0853552,0,658
1.2182,-0.066101,0,659
1.21442,-0.0492114,0,660
1.21111,-0.034396,0,661
1.20821,-0.0214,0,662
1.20566,-0.00999999,0,663
1.20342,5.99375e-09,0,664
1.91935,-3.5,0,665
1.87755,-3.30754,0,666
1.83575,-3.11509,0,667
1.79395,-2.92263,0,668
1.75215,-2.73017,0,669
1.71034,-2.53771,0,670
1.66854,-2.34526,0,671
1.62674,-2.1528,0,672
1.58494,-1.96034,0,673
1.54314,-1.76788,0,674
1.50134,-1.57543,0,675
1.45954,-1.38297,0,676
1.42074,-1.20436,0,677
1.38671,-1.04768,0,678
1.35686,-0.910249,0,679
1.33068,-0.789692,0,680
1.30771,-0.683941,0,681
1.28756,-0.591176,0,682
1.26988,-0.509804,0,683
1.25438,-0.438424,0,684
1.24078,-0.375811,0,685
1.22885,-0.320887,0,686
1.21839,-0.272707,0,687
1.20921,-0.230445,0,688
1.20116,-0.193373,0,689
1.19409,-0.160853,0,690
1.1879,-0.132328,0,691
1.18246,-0.107305,0,692
1.1777,-0.0853552,0,693
1.17351,-0.066101,0,694
1.16984,-0.0492114,0,695
1.16663,-0.034396,0,696
1.1638,-0.0214,0,697
1.16133,-0.00999999,0,698
1.15916,6.08862e-09,0,699
1.85671,-3.5,0,700
1.81618,-3.30754,0,701
1.77565,-3.11509,0,702
1.73512,-2.92263,0,703
1.6946,-2.73017,0,704
1.65407,-2.53771,0,705
1.61354,-2.34526,0,706
1.57301,-2.1528,0,707
1.53248,-1.96034,0,708
1.49196,-1.76788,0,709
1.45143,-1.57543,0,710
1.4109,-1.38297,0,711
1.37329,-1.20436,0,712
1.34029,-1.04768,0,713
1.31135,-0.910249,0,714
1.28596,-0.789692,0,715
1.2637,-0.683941,0,716
1.24416,-0.591176,0,717
1.22702,-0.509804,0,718
1.21199,-0.438424,0,719
1.19881,-0.375811,0,720
1.18724,-0.320887,0,721
1.1771,-0.272707,0,722
1.1682,-0.230445,0,723
1.16039,-0.193373,0,724
1.15354,-0.160853,0,725
1.14754,-0.132328,0,726
1.14227,-0.107305,0,727
1.13764,-0.0853552,0,728
1.13359,-0.066101,0,729
1.13003,-0.0492114,0,730
1.12691,-0.034396,0,731
1.12418,-0.0214,0,732
1.12177,-0.00999999,0,733
1.11967,6.17325e-09,0,734
1.79748,-3.5,0,735
1.75827,-3.30754,0,736
1.71906,-3.11509,0,737
1.67985,-2.92263,0,738
1.64065,-2.73017,0,739
1.60144,-2.53771,0,740
1.56223,-2.34526,0,741
1.52302,-2.1528,0,742
1.48381,-1.96034,0,743
1.44461,-1.76788,0,744
1.4054,-1.57543,0,745
1.36619,-1.38297,0,746
1.3298,-1.20436,0,747
1.29788,-1.04768,0,748
1.26989,-0.910249,0,749
1.24532,-0.789692,0,750
1.22378,-0.683941,0,751
1.20488,-0.591176,0,752
1.1883,-0.509804,0,753
1.17376,-0.438424,0,754
1.16101,-0.375811,0,755
1.14982,-0.320887,0,756
1.14,-0.272707,0,757
1.13139,-0.230445,0,758
1.12384,-0.193373,0,759
1.11722,-0.160853,0,760
1.1114,-0.132328,0,761
1.10631,-0.107305,0,762
1.10183,-0.0853552,0,763
1.09791,-0.066101,0,764
1.09447,-0.0492114,0,765
1.09145,-0.034396,0,766
1.08881,-0.0214,0,767
1.08648,-0.00999999,0,768
1.08445,6.24875e-09,0,769
1.74151,-3.5,0,770
1.70365,-3.30754,0,771
1.6658,-3.11509,0,772
1.62794,-2.92263,0,773
1.59008,-2.73017,0,774
1.55222,-2.53771,0,775
1.51436,-2.34526,0,776
1.4765,-2.1528,0,777
1.43865,-1.96034,0,778
1.40079,-1.76788,0,779
1.36293,-1.57543,0,780
1.32507,-1.38297,0,781
1.28994,-1.20436,0,782
1.25912,-1.04768,0,783
1.23208,-0.910249,0,784
1.20837,-0.789692,0,785
1.18756,-0.683941,0,786
1.16932,-0.591176,0,787
1.15331,-0.509804,0,788
1.13927,-0.438424,0,789
1.12695,-0.375811,0,790
1.11615,-0.320887,0,791
1.10667,-0.272707,0,792
1.09836,-0.230445,0,793
1.09107,-0.193373,0,794
1.08467,-0.160853,0,795
1.07906,-0.132328,0,796
